Category Slug,Category Rank,Name,Weapon Type,Archetype,Overall %,Δ 2 Weeks
"rocket-launchers","15","Tomorrow's Answer","","High-Impact Frame","1.94%","∞%"
"rocket-launchers","16","Bad Omens","","Aggressive Frame","1.61%","∞%"
"rocket-launchers","17","Hezen Vengeance (Timelost)","","Aggressive Frame","1.57%","∞%"
"rocket-launchers","18","The Hothead","","Adaptive Frame","1.44%","∞%"
"rocket-launchers","19","Cold Comfort","","Aggressive Frame","1.35%","∞%"
"rocket-launchers","20","The Hothead (Adept)","","Adaptive Frame","1.35%","∞%"
"rocket-launchers","21","The When and Where","","Adaptive Frame","1.35%","∞%"
"rocket-launchers","22","Bump in the Night","","Aggressive Frame","1.32%","∞%"
"rocket-launchers","23","Red Herring","","Adaptive Frame","1.27%","∞%"
"rocket-launchers","24","Bad Omens","","Aggressive Frame","1.19%","∞%"
"rocket-launchers","25","The Hothead","","Adaptive Frame","1.18%","∞%"
"rocket-launchers","26","Faith-Keeper","","Precision Frame","1.18%","∞%"
"rocket-launchers","27","Semiotician","","High-Impact Frame","1.16%","∞%"
"rocket-launchers","28","Hezen Vengeance","","Aggressive Frame","1.11%","∞%"
"rocket-launchers","29","Crux Celeritas IV","","Aggressive Frame","1.11%","∞%"
"rocket-launchers","30","Sleepless","","High-Impact Frame","1.10%","∞%"
"rocket-launchers","31","Subzero Salvo","","Precision Frame","1.09%","∞%"
"rocket-launchers","32","Cold Comfort","","Aggressive Frame","1.08%","∞%"
"rocket-launchers","33","Code Duello","","High-Impact Frame","1.08%","∞%"
"rocket-launchers","34","Cynosure","","Adaptive Frame","1.04%","∞%"
"rocket-launchers","35","Tomorrow's Answer","","High-Impact Frame","0.99%","∞%"
"rocket-launchers","36","Cold Comfort","","Aggressive Frame","0.95%","∞%"
"rocket-launchers","37","Royal Entry","","Precision Frame","0.93%","∞%"
"rocket-launchers","38","Blowout","","Adaptive Frame","0.87%","∞%"
"rocket-launchers","39","Heretic","","Aggressive Frame","0.77%","∞%"
"rocket-launchers","40","Crowning Duologue","","Precision Frame","0.77%","∞%"
"rocket-launchers","41","Cynosure","","Adaptive Frame","0.75%","∞%"
"rocket-launchers","42","BrayTech Osprey (Adept)","","High-Impact Frame","0.72%","∞%"
"rocket-launchers","43","Bellowing Giant","","Adaptive Frame","0.68%","∞%"
"rocket-launchers","44","Micromort","","Precision Frame","0.67%","∞%"
"rocket-launchers","45","Cold Comfort","","Aggressive Frame","0.63%","∞%"
"rocket-launchers","46","Cold Comfort (Adept)","","Aggressive Frame","0.57%","∞%"
"rocket-launchers","47","Roar of the Bear","","High-Impact Frame","0.55%","∞%"
"rocket-launchers","48","Tomorrow's Answer (Adept)","","High-Impact Frame","0.54%","∞%"
"rocket-launchers","49","Sleepless","","High-Impact Frame","0.50%","∞%"
"rocket-launchers","50","Roar of the Bear","","High-Impact Frame","0.50%","∞%"
"rocket-launchers","51","Tomorrow's Answer","","High-Impact Frame","0.49%","∞%"
"rocket-launchers","52","Subzero Salvo","","Precision Frame","0.49%","∞%"
"rocket-launchers","53","Hezen Vengeance (Timelost)","","Aggressive Frame","0.47%","∞%"
"rocket-launchers","54","Hoosegow","","Adaptive Frame","0.42%","∞%"
"rocket-launchers","55","Sleepless","","High-Impact Frame","0.42%","∞%"
"rocket-launchers","56","Heretic","","Aggressive Frame","0.41%","∞%"
"rocket-launchers","57","Heretic's Fervor","","Aggressive Frame","0.38%","∞%"
"rocket-launchers","58","Crux Celeritas IV","","Aggressive Frame","0.35%","∞%"
"rocket-launchers","59","Crowning Duologue","","Precision Frame","0.35%","∞%"
"rocket-launchers","60","Apex Predator","","Adaptive Frame","0.29%","∞%"
"rocket-launchers","61","Shining Sphere","","Adaptive Frame","0.28%","∞%"
"rocket-launchers","62","BrayTech Osprey","","High-Impact Frame","0.26%","∞%"
"rocket-launchers","63","Folded Root","","Aggressive Frame","0.24%","∞%"
"rocket-launchers","64","Zenobia-D","","Precision Frame","0.16%","∞%"
"rocket-launchers","65","Mos Epoch III","","Aggressive Frame","0.15%","∞%"
"rocket-launchers","66","Cold Comfort (Adept)","","Aggressive Frame","0.14%","∞%"
"rocket-launchers","67","Folded Root","","Aggressive Frame","0.13%","∞%"
"rocket-launchers","68","Micromort","","Precision Frame","0.11%","∞%"
"rocket-launchers","69","Micromort","","Precision Frame","0.11%","∞%"
"rocket-launchers","70","Roar of the Bear","","High-Impact Frame","0.11%","∞%"
"rocket-launchers","71","Folded Root","","Aggressive Frame","0.09%","∞%"
"rocket-launchers","72","Folded Root","","Aggressive Frame","0.09%","∞%"
"rocket-launchers","73","Micromort","","Precision Frame","0.09%","∞%"
"rocket-launchers","74","Pyroclastic Flow","","Precision Frame","0.08%","∞%"
"rocket-launchers","75","Tomorrow's Answer (Adept)","","High-Impact Frame","0.07%","∞%"
"rocket-launchers","76","Bellowing Giant","","Adaptive Frame","0.07%","∞%"
"rocket-launchers","77","Hoosegow XE5837","","Adaptive Frame","0.05%","∞%"
"scout-rifles","1","Nameless Midnight","","Precision Frame","6.73%","∞%"
"scout-rifles","2","Inbound Surveillance","","High-Impact Frame","5.43%","∞%"
"scout-rifles","3","Randy's Throwing Knife","","Rapid-Fire Frame","5.38%","∞%"
"scout-rifles","4","Voltaic Shade","","Balanced Heat Weapon","4.98%","∞%"
"scout-rifles","5","Oxygen SR3","","Precision Frame","4.21%","∞%"
"scout-rifles","6","No Feelings","","Precision Frame","2.97%","∞%"
"scout-rifles","7","Red Tape","","Lightweight Frame","2.95%","∞%"
"scout-rifles","8","Aisha's Embrace","","Rapid-Fire Frame","2.19%","∞%"
"scout-rifles","9","Sublimation","","High-Impact Frame","2.19%","∞%"
"scout-rifles","10","Jurisprudent","","High-Impact Frame","2.11%","∞%"
"scout-rifles","11","Last Rite","","Aggressive Frame","2.08%","∞%"
"scout-rifles","12","Doom of Chelchis","","Precision Frame","1.96%","∞%"
"scout-rifles","13","Hung Jury SR4","","Precision Frame","1.60%","∞%"
"scout-rifles","14","Vision of Confluence","","Precision Frame","1.60%","∞%"
"scout-rifles","15","Forced Memorializer","","Precision Frame","1.60%","∞%"
"scout-rifles","16","Trustee","","Rapid-Fire Frame","1.55%","∞%"
"scout-rifles","17","Unworthy","","Rapid-Fire Frame","1.46%","∞%"
"scout-rifles","18","Dead Man's Tale","","Cranial Spike","1.45%","∞%"
"scout-rifles","19","Timeworn Wayfarer","","Aggressive Frame","1.40%","∞%"
"scout-rifles","20","Long Arm","","Aggressive Frame","1.39%","∞%"
"scout-rifles","21","Tarnished Mettle","","Lightweight Frame","1.36%","∞%"
"scout-rifles","22","Dead Man's Tale","","Cranial Spike","1.35%","∞%"
"scout-rifles","23","Randy's Throwing Knife","","Rapid-Fire Frame","1.25%","∞%"
"scout-rifles","24","Taraxippos","","Lightweight Frame","1.25%","∞%"
"scout-rifles","25","Unworthy","","Rapid-Fire Frame","1.24%","∞%"
"scout-rifles","26","The Scholar","","High-Impact Frame","1.21%","∞%"
"scout-rifles","27","Patron of Lost Causes","","Lightweight Frame","1.21%","∞%"
"scout-rifles","28","Staccato-46","","Precision Frame","1.20%","∞%"
"scout-rifles","29","Night Watch","","Lightweight Frame","1.16%","∞%"
"scout-rifles","30","Hung Jury SR4","","Precision Frame","1.14%","∞%"
"scout-rifles","31","Live Fire","","Precision Frame","1.13%","∞%"
"scout-rifles","32","Vouchsafe","","Lightweight Frame","1.11%","∞%"
"scout-rifles","33","Fang of Ir Yût","","Rapid-Fire Frame","1.10%","∞%"
"scout-rifles","34","Brya's Love","","Precision Frame","1.09%","∞%"
"scout-rifles","35","No Feelings","","Precision Frame","0.94%","∞%"
"scout-rifles","36","Admetus-D","","High-Impact Frame","0.92%","∞%"
"scout-rifles","37","Transfiguration","","High-Impact Frame","0.91%","∞%"
"scout-rifles","38","Vision of Confluence","","Precision Frame","0.90%","∞%"
"scout-rifles","39","Nature Reclaimed","","Lightweight Frame","0.86%","∞%"
"scout-rifles","40","Glissando-47","","Precision Frame","0.82%","∞%"
"scout-rifles","41","Tears of Contrition","","Precision Frame","0.81%","∞%"
"scout-rifles","42","Perses-D","","High-Impact Frame","0.79%","∞%"
"scout-rifles","43","Hung Jury SR4","","Precision Frame","0.79%","∞%"
"scout-rifles","44","Vouchsafe","","Lightweight Frame","0.75%","∞%"
"scout-rifles","45","Contingency Plan","","Rapid-Fire Frame","0.70%","∞%"
"scout-rifles","46","Aisha's Embrace","","Rapid-Fire Frame","0.70%","∞%"
"scout-rifles","47","Servant Leader","","Rapid-Fire Frame","0.65%","∞%"
"scout-rifles","48","Nameless Midnight","","Precision Frame","0.65%","∞%"
"scout-rifles","49","Long Arm","","Aggressive Frame","0.61%","∞%"
"scout-rifles","50","Pointed Inquiry","","High-Impact Frame","0.60%","∞%"
"scout-rifles","51","Hung Jury SR4 (Adept)","","Precision Frame","0.59%","∞%"
"scout-rifles","52","Long Arm","","Aggressive Frame","0.58%","∞%"
"scout-rifles","53","Taraxippos","","Lightweight Frame","0.58%","∞%"
"scout-rifles","54","Vision of Confluence (Timelost)","","Precision Frame","0.55%","∞%"
"scout-rifles","55","Vouchsafe","","Lightweight Frame","0.55%","∞%"
"scout-rifles","56","Taraxippos","","Lightweight Frame","0.55%","∞%"
"scout-rifles","57","Oxygen SR3","","Precision Frame","0.54%","∞%"
"scout-rifles","58","Long Arm (Adept)","","Aggressive Frame","0.53%","∞%"
"scout-rifles","59","Adverse Possession IX","","Precision Frame","0.53%","∞%"
"scout-rifles","60","The Prophet","","Aggressive Frame","0.52%","∞%"
"scout-rifles","61","Hung Jury SR4 (Adept)","","Precision Frame","0.52%","∞%"
"scout-rifles","62","Nameless Midnight","","Precision Frame","0.51%","∞%"
"scout-rifles","63","Taraxippos","","Lightweight Frame","0.49%","∞%"
"scout-rifles","64","Eternal Blazon","","Lightweight Frame","0.47%","∞%"
"scout-rifles","65","Pleiades Corrector","","Lightweight Frame","0.44%","∞%"
"scout-rifles","66","Imperative","","High-Impact Frame","0.44%","∞%"
"scout-rifles","67","Jararaca-3sr","","Rapid-Fire Frame","0.42%","∞%"
"scout-rifles","68","Randy's Throwing Knife","","Rapid-Fire Frame","0.40%","∞%"
"scout-rifles","69","Doom of Chelchis (Harrowed)","","Precision Frame","0.38%","∞%"
"scout-rifles","70","Fang of Ir Yût (Adept)","","Rapid-Fire Frame","0.37%","∞%"
"scout-rifles","71","The Prophet (Adept)","","Aggressive Frame","0.35%","∞%"
"scout-rifles","72","Royal Chase","","Precision Frame","0.33%","∞%"
"scout-rifles","73","Hung Jury SR4","","Precision Frame","0.33%","∞%"
"scout-rifles","74","Hung Jury SR4","","Precision Frame","0.33%","∞%"
"scout-rifles","75","The Guiding Sight","","High-Impact Frame","0.30%","∞%"
"scout-rifles","76","Hung Jury SR4 (Adept)","","Precision Frame","0.29%","∞%"
"scout-rifles","77","Vision of Confluence (Timelost)","","Precision Frame","0.28%","∞%"
"scout-rifles","78","Red Tape","","Lightweight Frame","0.27%","∞%"
"scout-rifles","79","Hung Jury SR4","","Precision Frame","0.27%","∞%"
"scout-rifles","80","Aisha's Embrace (Adept)","","Rapid-Fire Frame","0.26%","∞%"
"scout-rifles","81","The Scholar","","High-Impact Frame","0.24%","∞%"
"scout-rifles","82","The Guiding Sight","","High-Impact Frame","0.24%","∞%"
"scout-rifles","83","Long Arm","","Aggressive Frame","0.23%","∞%"
"scout-rifles","84","Transfiguration","","High-Impact Frame","0.23%","∞%"
"scout-rifles","85","The Guiding Sight","","High-Impact Frame","0.19%","∞%"
"scout-rifles","86","Patron of Lost Causes","","Lightweight Frame","0.17%","∞%"
"scout-rifles","87","Talons of the Eagle","","High-Impact Frame","0.16%","∞%"
"scout-rifles","88","No Feelings","","Precision Frame","0.13%","∞%"
"scout-rifles","89","Distant Relation","","Precision Frame","0.10%","∞%"
"scout-rifles","90","Admetus-D","","High-Impact Frame","0.09%","∞%"
"scout-rifles","91","Long Arm (Adept)","","Aggressive Frame","0.08%","∞%"
"scout-rifles","92","Patron of Lost Causes","","Lightweight Frame","0.08%","∞%"
"scout-rifles","93","The Cut and Run","","High-Impact Frame","0.08%","∞%"
"scout-rifles","94","Nameless Midnight","","Precision Frame","0.07%","∞%"
"scout-rifles","95","Glissando-47","","Precision Frame","0.07%","∞%"
"scout-rifles","96","Does Not Compute","","High-Impact Frame","0.06%","∞%"
"scout-rifles","97","Imperative","","High-Impact Frame","0.06%","∞%"
"scout-rifles","98","Live Fire","","Precision Frame","0.06%","∞%"
"scout-rifles","99","Tango-45 XK5094","","Precision Frame","0.05%","∞%"
"scout-rifles","100","Night Watch","","Lightweight Frame","0.05%","∞%"
"shotguns","1","Felwinter's Lie","","Shot Package","7.89%","∞%"
"shotguns","2","Perfect Paradox","","Rapid-Fire Frame","4.74%","∞%"
"shotguns","3","Gunnora's Axe","","Pinpoint Slug Frame","3.48%","∞%"
"shotguns","4","Hawthorne's Field-Forged Shotgun","","Lightweight Frame","3.34%","∞%"
"shotguns","5","Threat Level","","Rapid-Fire Frame","2.58%","∞%"
"shotguns","6","MIDA Macro-Tool","","MIDA Synergy","2.23%","∞%"
"shotguns","7","Matador 64","","Precision Frame","2.11%","∞%"
"shotguns","8","Fractethyst","","Precision Frame","2.04%","∞%"
"shotguns","9","Heritage","","Pinpoint Slug Frame","1.99%","∞%"
"shotguns","10","Seventh Seraph CQC-12","","Lightweight Frame","1.96%","∞%"
"shotguns","11","Wastelander M5","","Lightweight Frame","1.86%","∞%"
"shotguns","12","Precipial","","Precision Frame","1.75%","∞%"
"shotguns","13","Slayer's Fang","","Nightsworn Sight","1.73%","∞%"
"shotguns","14","Trachinus","","Rapid Fire Slug","1.72%","∞%"
"shotguns","15","The Inquisitor","","Pinpoint Slug Frame","1.71%","∞%"
"shotguns","16","Arcane Embrace","","Heavy Burst","1.67%","∞%"
"shotguns","17","Found Verdict","","Aggressive Frame","1.67%","∞%"
"shotguns","18","Pure Recollection","","Heavy Burst","1.58%","∞%"
"shotguns","19","Someday","","Precision Frame","1.56%","∞%"
"shotguns","20","Astral Horizon","","Aggressive Frame","1.52%","∞%"
"shotguns","21","Compass Rose","","Precision Frame","1.52%","∞%"
"shotguns","22","IKELOS_SG_v1.0.3","","Rapid-Fire Frame","1.37%","∞%"
"shotguns","23","Python","","Aggressive Frame","1.36%","∞%"
"shotguns","24","A Sudden Death","","Aggressive Frame","1.28%","∞%"
"shotguns","25","Matador 64","","Precision Frame","1.17%","∞%"
"shotguns","26","Imperial Decree","","Aggressive Frame","1.16%","∞%"
"shotguns","27","Perfect Paradox","","Rapid-Fire Frame","1.11%","∞%"
"shotguns","28","Ragnhild-D","","Aggressive Frame","1.09%","∞%"
"shotguns","29","Swordbreaker","","Lightweight Frame","1.09%","∞%"
"shotguns","30","Last Man Standing","","Aggressive Frame","1.07%","∞%"
"shotguns","31","Seventh Seraph CQC-12","","Lightweight Frame","1.06%","∞%"
"shotguns","32","Reckless Endangerment","","Lightweight Frame","1.03%","∞%"
"shotguns","33","First In, Last Out","","Pinpoint Slug Frame","1.01%","∞%"
"shotguns","34","Deadlock","","Precision Frame","0.95%","∞%"
"shotguns","35","Fractethyst","","Precision Frame","0.91%","∞%"
"shotguns","36","Unvoiced","","Pinpoint Slug Frame","0.90%","∞%"
"shotguns","37","Riiswalker","","Lightweight Frame","0.81%","∞%"
"shotguns","38","Nessa's Oblation","","Pinpoint Slug Frame","0.81%","∞%"
"shotguns","39","Unvoiced","","Pinpoint Slug Frame","0.81%","∞%"
"shotguns","40","Without Remorse","","Lightweight Frame","0.80%","∞%"
"shotguns","41","Found Verdict","","Aggressive Frame","0.80%","∞%"
"shotguns","42","Until Its Return","","Rapid-Fire Frame","0.79%","∞%"
"shotguns","43","Ded Gramarye IV","","Lightweight Frame","0.77%","∞%"
"shotguns","44","Legato-11","","Pinpoint Slug Frame","0.76%","∞%"
"shotguns","45","Prophet of Doom","","Precision Frame","0.69%","∞%"
"shotguns","46","Retold Tale","","Precision Frame","0.67%","∞%"
"shotguns","47","Supercluster","","Pinpoint Slug Frame","0.65%","∞%"
"shotguns","48","The Deicide","","Rapid-Fire Frame","0.64%","∞%"
"shotguns","49","Bonechiller","","Pinpoint Slug Frame","0.62%","∞%"
"shotguns","50","Found Verdict (Timelost)","","Aggressive Frame","0.62%","∞%"
"shotguns","51","A Sudden Death","","Aggressive Frame","0.59%","∞%"
"shotguns","52","Scavenger's Fate","","Precision Frame","0.57%","∞%"
"shotguns","53","Deadlock","","Precision Frame","0.56%","∞%"
"shotguns","54","Retold Tale","","Precision Frame","0.55%","∞%"
"shotguns","55","Arcane Embrace","","Heavy Burst","0.55%","∞%"
"shotguns","56","Retold Tale","","Precision Frame","0.54%","∞%"
"shotguns","57","Arcane Embrace","","Heavy Burst","0.54%","∞%"
"shotguns","58","The Inquisitor (Adept)","","Pinpoint Slug Frame","0.54%","∞%"
"shotguns","59","Xenoclast IV","","Lightweight Frame","0.51%","∞%"
"shotguns","60","The Inquisitor","","Pinpoint Slug Frame","0.50%","∞%"
"shotguns","61","One Small Step","","Rapid-Fire Frame","0.49%","∞%"
"shotguns","62","Sojourner's Tale","","Pinpoint Slug Frame","0.49%","∞%"
"shotguns","63","The Deicide","","Rapid-Fire Frame","0.48%","∞%"
"shotguns","64","Basso Ostinato","","Rapid-Fire Frame","0.47%","∞%"
"shotguns","65","Mindbender's Ambition (Adept)","","Aggressive Frame","0.47%","∞%"
"shotguns","66","Fortissimo-11","","Pinpoint Slug Frame","0.45%","∞%"
"shotguns","67","Threat Level","","Rapid-Fire Frame","0.45%","∞%"
"shotguns","68","Hand in Hand","","Aggressive Frame","0.45%","∞%"
"shotguns","69","Compass Rose","","Precision Frame","0.45%","∞%"
"shotguns","70","Blasphemer","","Pinpoint Slug Frame","0.44%","∞%"
"shotguns","71","Sojourner's Tale","","Pinpoint Slug Frame","0.44%","∞%"
"shotguns","72","No Reprieve","","Pinpoint Slug Frame","0.43%","∞%"
"shotguns","73","Gunnora's Axe","","Pinpoint Slug Frame","0.39%","∞%"
"shotguns","74","Retrofuturist","","Lightweight Frame","0.38%","∞%"
"shotguns","75","A Sudden Death (Adept)","","Aggressive Frame","0.37%","∞%"
"shotguns","76","Dead Weight","","Rapid-Fire Frame","0.37%","∞%"
"shotguns","77","Basso Ostinato","","Rapid-Fire Frame","0.36%","∞%"
"shotguns","78","Compass Rose","","Precision Frame","0.35%","∞%"
"shotguns","79","Found Verdict (Timelost)","","Aggressive Frame","0.35%","∞%"
"shotguns","80","Riiswalker","","Lightweight Frame","0.35%","∞%"
"shotguns","81","IKELOS_SG_v1.0.2","","Rapid-Fire Frame","0.35%","∞%"
"shotguns","82","Mindbender's Ambition","","Aggressive Frame","0.33%","∞%"
"shotguns","83","A Sudden Death","","Aggressive Frame","0.32%","∞%"
"shotguns","84","Astral Horizon","","Aggressive Frame","0.29%","∞%"
"shotguns","85","Bonechiller","","Pinpoint Slug Frame","0.29%","∞%"
"shotguns","86","Blasphemer","","Pinpoint Slug Frame","0.29%","∞%"
"shotguns","87","A Sudden Death","","Aggressive Frame","0.29%","∞%"
"shotguns","88","Swordbreaker (Adept)","","Lightweight Frame","0.29%","∞%"
"shotguns","89","Prophet of Doom","","Precision Frame","0.28%","∞%"
"shotguns","90","Last Man Standing","","Aggressive Frame","0.27%","∞%"
"shotguns","91","Astral Horizon","","Aggressive Frame","0.27%","∞%"
"shotguns","92","Wishbringer","","Rapid-Fire Frame","0.26%","∞%"
"shotguns","93","Toil and Trouble","","Aggressive Frame","0.23%","∞%"
"shotguns","94","A Sudden Death","","Aggressive Frame","0.23%","∞%"
"shotguns","95","Astral Horizon (Adept)","","Aggressive Frame","0.23%","∞%"
"shotguns","96","Dust Rock Blues","","Precision Frame","0.23%","∞%"
"shotguns","97","Nessa's Oblation (Adept)","","Pinpoint Slug Frame","0.23%","∞%"
"shotguns","98","Gunnora's Axe","","Pinpoint Slug Frame","0.22%","∞%"
"shotguns","99","Retrofuturist","","Lightweight Frame","0.21%","∞%"
"shotguns","100","Mindbender's Ambition","","Aggressive Frame","0.20%","∞%"
"sidearms","1","The Call","","Micro-Missile Frame","6.51%","∞%"
"sidearms","2","Compact Defender","","Dynamic Heat Weapon","6.08%","∞%"
"sidearms","3","Punching Out","","Rapid-Fire Frame","5.57%","∞%"
"sidearms","4","Lotus-Eater","","Micro-Missile Frame","5.21%","∞%"
"sidearms","5","Evening SI4","","Adaptive Burst","4.54%","∞%"
"sidearms","6","Unfall","","Together Forever","3.79%","∞%"
"sidearms","7","Fimbulwinter Stitch","","Precision Frame","3.55%","∞%"
"sidearms","8","Returned Memory","","Micro-Missile Frame","3.47%","∞%"
"sidearms","9","The Keening","","Adaptive Frame","3.34%","∞%"
"sidearms","10","Aberrant Action","","Micro-Missile Frame","3.06%","∞%"
"sidearms","11","Tinasha's Mastery","","Micro-Missile Frame","2.86%","∞%"
"sidearms","12","Drang","","Together Forever","2.60%","∞%"
"sidearms","13","Brass Attacks","","Heavy Burst","2.36%","∞%"
"sidearms","14","Indebted Kindness","","Micro-Missile Frame","2.31%","∞%"
"sidearms","15","Heliocentric QSc","","Lightweight Frame","2.30%","∞%"
"sidearms","16","Faustus Decline","","Lightweight Frame","1.93%","∞%"
"sidearms","17","High Albedo","","Micro-Missile Frame","1.82%","∞%"
"sidearms","18","Seventh Seraph SI-2","","Lightweight Frame","1.78%","∞%"
"sidearms","19","Indebted Kindness","","Micro-Missile Frame","1.77%","∞%"
"sidearms","20","Forgiveness","","Heavy Burst","1.69%","∞%"
"sidearms","21","Heliocentric QSc","","Lightweight Frame","1.65%","∞%"
"sidearms","22","Compact Defender","","Dynamic Heat Weapon","1.56%","∞%"
"sidearms","23","Punching Out","","Rapid-Fire Frame","1.51%","∞%"
"sidearms","24","Lotus-Eater (Adept)","","Micro-Missile Frame","1.40%","∞%"
"sidearms","25","Breachlight","","Heavy Burst","1.38%","∞%"
"sidearms","26","Fimbulwinter Stitch","","Precision Frame","1.37%","∞%"
"sidearms","27","Liminal Vigil","","Heavy Burst","1.29%","∞%"
"sidearms","28","Drang (Baroque)","","Together Forever","1.22%","∞%"
"sidearms","29","Evening SI4","","Adaptive Burst","1.03%","∞%"
"sidearms","30","Brigand's Law","","Rapid-Fire Frame","1.01%","∞%"
"sidearms","31","Lotus-Eater","","Micro-Missile Frame","0.82%","∞%"
"sidearms","32","Lotus-Eater","","Micro-Missile Frame","0.82%","∞%"
"sidearms","33","Tinasha's Mastery","","Micro-Missile Frame","0.78%","∞%"
"sidearms","34","Mykel's Reverence","","Rapid-Fire Frame","0.75%","∞%"
"sidearms","35","Empirical Evidence","","Heavy Burst","0.75%","∞%"
"sidearms","36","Anonymous Autumn","","Lightweight Frame","0.74%","∞%"
"sidearms","37","Peacebond","","Adaptive Burst","0.66%","∞%"
"sidearms","38","Buzzard (Adept)","","Adaptive Frame","0.62%","∞%"
"sidearms","39","Insurmountable","","Precision Frame","0.59%","∞%"
"sidearms","40","Peacebond","","Adaptive Burst","0.58%","∞%"
"sidearms","41","Controlling Vision","","Adaptive Frame","0.57%","∞%"
"sidearms","42","Division","","Heavy Burst","0.57%","∞%"
"sidearms","43","Senuna SI6","","Adaptive Burst","0.54%","∞%"
"sidearms","44","Lonesome","","Precision Frame","0.48%","∞%"
"sidearms","45","The Last Dance","","Adaptive Burst","0.48%","∞%"
"sidearms","46","Liminal Vigil","","Heavy Burst","0.47%","∞%"
"sidearms","47","Punching Out","","Rapid-Fire Frame","0.47%","∞%"
"sidearms","48","Boudica-C","","Precision Frame","0.43%","∞%"
"sidearms","49","The Vision","","Adaptive Burst","0.42%","∞%"
"sidearms","50","Seventh Seraph SI-2","","Lightweight Frame","0.42%","∞%"
"sidearms","51","Liminal Vigil (Adept)","","Heavy Burst","0.41%","∞%"
"sidearms","52","Fioritura-59","","Rapid-Fire Frame","0.41%","∞%"
"sidearms","53","Farewell","","Lightweight Frame","0.39%","∞%"
"sidearms","54","Redback-5si","","Lightweight Frame","0.39%","∞%"
"sidearms","55","Brass Attacks","","Heavy Burst","0.38%","∞%"
"sidearms","56","Liminal Vigil","","Heavy Burst","0.37%","∞%"
"sidearms","57","Forgiveness (Adept)","","Heavy Burst","0.35%","∞%"
"sidearms","58","The Fool's Remedy","","Rapid-Fire Frame","0.33%","∞%"
"sidearms","59","The Keening","","Adaptive Frame","0.32%","∞%"
"sidearms","60","Forgiveness","","Heavy Burst","0.32%","∞%"
"sidearms","61","Peacebond","","Adaptive Burst","0.30%","∞%"
"sidearms","62","Division (Adept)","","Heavy Burst","0.30%","∞%"
"sidearms","63","Mykel's Reverence (Adept)","","Rapid-Fire Frame","0.28%","∞%"
"sidearms","64","The Keening","","Adaptive Frame","0.27%","∞%"
"sidearms","65","Buzzard","","Adaptive Frame","0.27%","∞%"
"sidearms","66","Allied Demand","","Adaptive Frame","0.26%","∞%"
"sidearms","67","A Swift Verdict","","Precision Frame","0.25%","∞%"
"sidearms","68","High Albedo","","Adaptive Burst","0.25%","∞%"
"sidearms","69","Enigma's Draw","","Precision Frame","0.24%","∞%"
"sidearms","70","Liminal Vigil","","Heavy Burst","0.21%","∞%"
"sidearms","71","Allied Demand","","Adaptive Frame","0.19%","∞%"
"sidearms","72","Division","","Heavy Burst","0.17%","∞%"
"sidearms","73","Spoiler Alert","","Lightweight Frame","0.16%","∞%"
"sidearms","74","Last Hope","","Adaptive Burst","0.14%","∞%"
"sidearms","75","Breachlight","","Heavy Burst","0.14%","∞%"
"sidearms","76","Allied Demand","","Adaptive Frame","0.10%","∞%"
"sidearms","77","Division (Adept)","","Heavy Burst","0.10%","∞%"
"sidearms","78","Anonymous Autumn","","Lightweight Frame","0.09%","∞%"
"sidearms","79","Smuggler's Word","","Heavy Burst","0.08%","∞%"
"sidearms","80","Liminal Vigil (Adept)","","Heavy Burst","0.08%","∞%"
"sidearms","81","Drang (Baroque)","","Together Forever","0.07%","∞%"
"sidearms","82","Traveler's Judgment 5","","Adaptive Burst","0.07%","∞%"
"sidearms","83","Anonymous Autumn","","Lightweight Frame","0.06%","∞%"
"sidearms","84","Insurmountable","","Precision Frame","0.06%","∞%"
"sidearms","85","Translation Theory","","Adaptive Frame","0.06%","∞%"
"sidearms","86","Dead Man Walking XX7463","","Rapid-Fire Frame","0.05%","∞%"
"sidearms","87","Buzzard","","Adaptive Frame","0.05%","∞%"
"sidearms","88","Lonesome","","Precision Frame","0.05%","∞%"
"sidearms","89","The Last Dance","","Adaptive Burst","0.04%","∞%"
"sidearms","90","Spoiler Alert","","Lightweight Frame","0.02%","∞%"
"sniper-rifles","1","Refurbished A499","","Disruption Weapon [Shield-Piercing]","8.06%","∞%"
"sniper-rifles","2","The Helmsman","","High-Impact Frame","6.63%","∞%"
"sniper-rifles","3","Conspiracy Honed","","Dynamic Heat Weapon","4.40%","∞%"
"sniper-rifles","4","Adored","","Adaptive Frame","3.13%","∞%"
"sniper-rifles","5","Frozen Orbit","","Aggressive Frame","2.93%","∞%"
"sniper-rifles","6","Refurbished A499","","Disruption Weapon [Shield-Piercing]","2.89%","∞%"
"sniper-rifles","7","Something Something","","Aggressive Frame","2.72%","∞%"
"sniper-rifles","8","Alone as a god","","Rapid-Fire Frame","2.58%","∞%"
"sniper-rifles","9","ALLEN 05","","Adaptive Frame","2.35%","∞%"
"sniper-rifles","10","Occluded Finality","","Aggressive Frame","2.15%","∞%"
"sniper-rifles","11","The Supremacy","","Rapid-Fire Frame","2.06%","∞%"
"sniper-rifles","12","Whisper of the Worm","","White Nail","1.76%","∞%"
"sniper-rifles","13","Succession","","Aggressive Frame","1.68%","∞%"
"sniper-rifles","14","Shoreline Dissident","","Rapid-Fire Frame","1.62%","∞%"
