Rank,Name,Weapon Type,Archetype,Overall %,Δ 2 Weeks
"728","Vengeful Whisper","Combat Bow","Precision Frame","0.04%","∞%"
"729","No Survivors","Submachine Gun","Aggressive Frame","0.04%","∞%"
"730","Perses-D","Scout Rifle","High-Impact Frame","0.04%","∞%"
"731","Found Verdict (Timelost)","Shotgun","Aggressive Frame","0.04%","∞%"
"732","Goldtusk","Sword","Lightweight Frame","0.04%","∞%"
"733","Refusal of the Call","Glaive","Adaptive Glaive","0.04%","∞%"
"734","Subjunctive","Submachine Gun","Lightweight Frame","0.04%","∞%"
"735","Ogma PR6","Pulse Rifle","Lightweight Frame","0.04%","∞%"
"736","Hung Jury SR4","Scout Rifle","Precision Frame","0.04%","∞%"
"737","Circular Logic","Machine Gun","Adaptive Frame","0.04%","∞%"
"738","Biting Winds","Combat Bow","Precision Frame","0.04%","∞%"
"739","VS Gravitic Arrest","Fusion Rifle","Adaptive Frame","0.04%","∞%"
"740","Non-Denouement","Combat Bow","Precision Frame","0.04%","∞%"
"741","Keen Thistle","Sniper Rifle","Aggressive Frame","0.04%","∞%"
"742","Praedyth's Revenge (Timelost)","Sniper Rifle","Rapid-Fire Frame","0.04%","∞%"
"743","Terminus Horizon (Adept)","Machine Gun","High-Impact Frame","0.04%","∞%"
"744","Shayura's Wrath (Adept)","Submachine Gun","Precision Frame","0.04%","∞%"
"745","Rapid Growth","Sniper Rifle","Rapid-Fire Frame","0.04%","∞%"
"746","No Survivors","Submachine Gun","Aggressive Frame","0.04%","∞%"
"747","Null Composure","Fusion Rifle","Rapid-Fire Frame","0.04%","∞%"
"748","Critical Anomaly","Sniper Rifle","Aggressive Frame","0.04%","∞%"
"749","Lodbrok-C","Auto Rifle","High-Impact Frame","0.04%","∞%"
"750","Caretaker","Sword","Adaptive Frame","0.04%","∞%"
"751","Interference VI","Grenade Launcher","Adaptive Frame","0.04%","∞%"
"752","Rapacious Appetite","Submachine Gun","Aggressive Frame","0.04%","∞%"
"753","Heretic","Rocket Launcher","Aggressive Frame","0.04%","∞%"
"754","A Sudden Death","Shotgun","Aggressive Frame","0.04%","∞%"
"755","Crowning Duologue","Rocket Launcher","Precision Frame","0.04%","∞%"
"756","Submersion","Combat Bow","High-Impact Frame","0.04%","∞%"
"757","Coronach-22","Auto Rifle","Adaptive Frame","0.04%","∞%"
"758","The Palindrome","Hand Cannon","Adaptive Frame","0.04%","∞%"
"759","Truthteller","Grenade Launcher","Lightweight Frame","0.04%","∞%"
"760","Scalar Potential","Pulse Rifle","Rapid-Fire Frame","0.04%","∞%"
"761","Recurrent Impact","Machine Gun","Rapid-Fire Frame","0.04%","∞%"
"762","Fugue-55","Sniper Rifle","Adaptive Frame","0.04%","∞%"
"763","Seventh Seraph VY-7","Submachine Gun","Precision Frame","0.04%","∞%"
"764","Breakneck","Auto Rifle","Precision Frame","0.04%","∞%"
"765","Vouchsafe","Scout Rifle","Lightweight Frame","0.04%","∞%"
"766","Geodetic HSm","Sword","Adaptive Frame","0.04%","∞%"
"767","Glacioclasm","Fusion Rifle","High-Impact Frame","0.04%","∞%"
"768","Mercurial Overreach","Sniper Rifle","Adaptive Frame","0.04%","∞%"
"769","Eye of Sol","Sniper Rifle","Adaptive Frame","0.04%","∞%"
"770","Scavenger's Fate","Shotgun","Precision Frame","0.04%","∞%"
"771","Cynosure","Rocket Launcher","Adaptive Frame","0.04%","∞%"
"772","Horror Story","Auto Rifle","Precision Frame","0.04%","∞%"
"773","Igneous Hammer","Hand Cannon","Aggressive Frame","0.04%","∞%"
"774","The Title","Submachine Gun","Aggressive Frame","0.04%","∞%"
"775","Peacebond","Sidearm","Adaptive Burst","0.04%","∞%"
"776","Hullabaloo","Grenade Launcher","Compressed Wave Frame","0.04%","∞%"
"777","Shayura's Wrath (Adept)","Submachine Gun","Precision Frame","0.04%","∞%"
"778","Liturgy","Grenade Launcher","Double Fire","0.04%","∞%"
"779","Greasy Luck","Glaive","Rapid-Fire Glaive","0.04%","∞%"
"780","Something New","Hand Cannon","Aggressive Frame","0.04%","∞%"
"781","Battle Scar","Pulse Rifle","Lightweight Frame","0.04%","∞%"
"782","Neoptolemus II","Combat Bow","Precision Frame","0.04%","∞%"
"783","Deadlock","Shotgun","Precision Frame","0.04%","∞%"
"784","Veillantif-D","Pulse Rifle","Micro-Missile Frame","0.04%","∞%"
"785","Uzume RR4 (Adept)","Sniper Rifle","Adaptive Frame","0.04%","∞%"
"786","The Title","Submachine Gun","Aggressive Frame","0.04%","∞%"
"787","Aurora Dawn","Sword","Wave Sword Frame","0.04%","∞%"
"788","Retold Tale","Shotgun","Precision Frame","0.04%","∞%"
"789","BrayTech Osprey (Adept)","Rocket Launcher","High-Impact Frame","0.04%","∞%"
"790","Arcane Embrace","Shotgun","Heavy Burst","0.03%","∞%"
"791","Stay Frosty","Pulse Rifle","Lightweight Frame","0.03%","∞%"
"792","Ancient Gospel","Hand Cannon","Adaptive Frame","0.03%","∞%"
"793","Wolftone Draw","Combat Bow","Precision Frame","0.03%","∞%"
"794","Wilderflight","Grenade Launcher","Double Fire","0.03%","∞%"
"795","Fortunate Star","Combat Bow","Lightweight Frame","0.03%","∞%"
"796","Watchful Eye","Machine Gun","Aggressive Frame","0.03%","∞%"
"797","Contingency Plan","Scout Rifle","Rapid-Fire Frame","0.03%","∞%"
"798","Aisha's Embrace","Scout Rifle","Rapid-Fire Frame","0.03%","∞%"
"799","Joxer's Longsword","Pulse Rifle","Heavy Burst","0.03%","∞%"
"800","Retold Tale","Shotgun","Precision Frame","0.03%","∞%"
"801","Arcane Embrace","Shotgun","Heavy Burst","0.03%","∞%"
"802","Prodigal Return","Grenade Launcher","Lightweight Frame","0.03%","∞%"
"803","The Inquisitor (Adept)","Shotgun","Pinpoint Slug Frame","0.03%","∞%"
"804","Gridskipper","Pulse Rifle","Rapid-Fire Frame","0.03%","∞%"
"805","Aisha's Care (Adept)","Pulse Rifle","Heavy Burst","0.03%","∞%"
"806","PLUG ONE.1 (Adept)","Fusion Rifle","Precision Frame","0.03%","∞%"
"807","The Domino","Sniper Rifle","Adaptive Frame","0.03%","∞%"
"808","Buzzard (Adept)","Sidearm","Adaptive Frame","0.03%","∞%"
"809","Forensic Nightmare","Submachine Gun","Precision Frame","0.03%","∞%"
"810","Main Ingredient","Fusion Rifle","Precision Frame","0.03%","∞%"
"811","Gridskipper","Pulse Rifle","Rapid-Fire Frame","0.03%","∞%"
"812","Raconteur","Combat Bow","Precision Frame","0.03%","∞%"
"813","Likely Suspect","Fusion Rifle","Rapid-Fire Frame","0.03%","∞%"
"814","Autumn Wind","Pulse Rifle","Rapid-Fire Frame","0.03%","∞%"
"815","Greasy Luck","Glaive","Rapid-Fire Glaive","0.03%","∞%"
"816","Origin Story","Auto Rifle","Precision Frame","0.03%","∞%"
"817","Bellowing Giant","Rocket Launcher","Adaptive Frame","0.03%","∞%"
"818","Avalanche","Machine Gun","Adaptive Frame","0.03%","∞%"
"819","Acosmic","Grenade Launcher","Rapid-Fire Frame","0.03%","∞%"
"820","Stryker's Sure-Hand","Sword","Aggressive Frame","0.03%","∞%"
"821","Adhortative","Pulse Rifle","Adaptive Frame","0.03%","∞%"
"822","Anamnesis","Combat Bow","Lightweight Frame","0.03%","∞%"
"823","False Promises","Auto Rifle","High-Impact Frame","0.03%","∞%"
"824","Twilight Oath","Sniper Rifle","Rapid-Fire Frame","0.03%","∞%"
"825","Archon's Thunder","Machine Gun","High-Impact Frame","0.03%","∞%"
"826","Omniscient Eye","Sniper Rifle","Rapid-Fire Frame","0.03%","∞%"
"827","Hammerhead","Machine Gun","Adaptive Frame","0.03%","∞%"
"828","Vengeful Whisper","Combat Bow","Precision Frame","0.03%","∞%"
"829","Xenoclast IV","Shotgun","Lightweight Frame","0.03%","∞%"
"830","Micromort","Rocket Launcher","Precision Frame","0.03%","∞%"
"831","Out of Bounds","Submachine Gun","Lightweight Frame","0.03%","∞%"
"832","Avalanche","Machine Gun","Adaptive Frame","0.03%","∞%"
"833","Wilderflight (Adept)","Grenade Launcher","Double Fire","0.03%","∞%"
"834","Insurmountable","Sidearm","Precision Frame","0.03%","∞%"
"835","Servant Leader","Scout Rifle","Rapid-Fire Frame","0.03%","∞%"
"836","Survivor's Epitaph","Hand Cannon","Precision Frame","0.03%","∞%"
"837","Hushed Whisper","Combat Bow","Precision Frame","0.03%","∞%"
"838","Watchful Eye (Adept)","Machine Gun","Aggressive Frame","0.03%","∞%"
"839","Nameless Midnight","Scout Rifle","Precision Frame","0.03%","∞%"
"840","The Steady Hand","Hand Cannon","Aggressive Frame","0.03%","∞%"
"841","Succession","Sniper Rifle","Aggressive Frame","0.03%","∞%"
"842","Peacebond","Sidearm","Adaptive Burst","0.03%","∞%"
"843","Waking Vigil","Hand Cannon","Adaptive Frame","0.03%","∞%"
"844","Praedyth's Revenge","Sniper Rifle","Rapid-Fire Frame","0.03%","∞%"
"845","Razor's Edge","Sword","Vortex Frame","0.03%","∞%"
"846","The Inquisitor","Shotgun","Pinpoint Slug Frame","0.03%","∞%"
"847","Aurvandil FR6","Fusion Rifle","High-Impact Frame","0.03%","∞%"
"848","Cruoris FR4","Fusion Rifle","Aggressive Frame","0.03%","∞%"
"849","Relentless","Pulse Rifle","High-Impact Frame","0.03%","∞%"
"850","One Small Step","Shotgun","Rapid-Fire Frame","0.03%","∞%"
"851","IKELOS_HC_v1.0.3","Hand Cannon","Precision Frame","0.03%","∞%"
"852","Igneous Hammer (Adept)","Hand Cannon","Aggressive Frame","0.03%","∞%"
"853","Controlling Vision","Sidearm","Adaptive Frame","0.03%","∞%"
"854","A Distant Pull","Sniper Rifle","Rapid-Fire Frame","0.03%","∞%"
"855","Synchronic Roulette","Submachine Gun","Precision Frame","0.03%","∞%"
"856","Division","Sidearm","Heavy Burst","0.03%","∞%"
"857","Sojourner's Tale","Shotgun","Pinpoint Slug Frame","0.03%","∞%"
"858","The Title","Submachine Gun","Aggressive Frame","0.03%","∞%"
"859","Adamantite","Auto Rifle","Support Frame","0.03%","∞%"
"860","Nightshade","Pulse Rifle","Lightweight Frame","0.03%","∞%"
"861","Sacred Provenance","Pulse Rifle","Aggressive Burst","0.03%","∞%"
"862","Shadow Price (Adept)","Auto Rifle","Precision Frame","0.03%","∞%"
"863","Summum Bonum","Sword","Wave Sword Frame","0.03%","∞%"
"864","Coriolis Force","Fusion Rifle","Aggressive Frame","0.03%","∞%"
"865","Tigerspite","Auto Rifle","Precision Frame","0.03%","∞%"
"866","Nasreddin","Sword","Adaptive Frame","0.03%","∞%"
"867","False Promises","Auto Rifle","High-Impact Frame","0.03%","∞%"
"868","Acosmic","Grenade Launcher","Rapid-Fire Frame","0.03%","∞%"
"869","Occluded Finality","Sniper Rifle","Aggressive Frame","0.03%","∞%"
"870","Jorum's Claw","Pulse Rifle","Adaptive Frame","0.03%","∞%"
"871","Sorrow's Verse","Auto Rifle","Adaptive Frame","0.03%","∞%"
"872","Cold Comfort","Rocket Launcher","Aggressive Frame","0.03%","∞%"
"873","Belisarius-D","Pulse Rifle","Aggressive Burst","0.03%","∞%"
"874","Long Arm","Scout Rifle","Aggressive Frame","0.03%","∞%"
"875","The Deicide","Shotgun","Rapid-Fire Frame","0.03%","∞%"
"876","Luna Regolith III","Sniper Rifle","Aggressive Frame","0.03%","∞%"
"877","Accrued Redemption","Combat Bow","Precision Frame","0.03%","∞%"
"878","Prolonged Engagement","Submachine Gun","Lightweight Frame","0.03%","∞%"
"879","Basso Ostinato","Shotgun","Rapid-Fire Frame","0.03%","∞%"
"880","Unwavering Duty","Machine Gun","Adaptive Frame","0.03%","∞%"
"881","Relentless","Pulse Rifle","High-Impact Frame","0.03%","∞%"
"882","Lunulata-4b","Combat Bow","Lightweight Frame","0.03%","∞%"
"883","Mindbender's Ambition (Adept)","Shotgun","Aggressive Frame","0.03%","∞%"
"884","Reed's Regret (Adept)","Linear Fusion Rifle","Precision Frame","0.03%","∞%"
"885","Pointed Inquiry","Scout Rifle","High-Impact Frame","0.03%","∞%"
"886","Blood Feud","Submachine Gun","Aggressive Frame","0.03%","∞%"
"887","Cold Denial","Pulse Rifle","High-Impact Frame","0.03%","∞%"
"888","Senuna SI6","Sidearm","Adaptive Burst","0.03%","∞%"
"889","Apostate","Sniper Rifle","Rapid-Fire Frame","0.03%","∞%"
"890","Borrowed Time","Submachine Gun","Aggressive Frame","0.03%","∞%"
"891","Adjudicator","Submachine Gun","Precision Frame","0.03%","∞%"
"892","Blast Furnace","Pulse Rifle","Aggressive Burst","0.03%","∞%"
"893","Sovereignty","Sniper Rifle","Adaptive Frame","0.03%","∞%"
"894","Scintillation","Linear Fusion Rifle","Adaptive Burst","0.03%","∞%"
"895","Long Shadow","Sniper Rifle","Adaptive Frame","0.03%","∞%"
"896","Hung Jury SR4 (Adept)","Scout Rifle","Precision Frame","0.03%","∞%"
"897","Enyo-D","Submachine Gun","Precision Frame","0.03%","∞%"
"898","The Messenger","Pulse Rifle","High-Impact Frame","0.03%","∞%"
"899","The Title","Submachine Gun","Aggressive Frame","0.03%","∞%"
"900","Irukandji","Sniper Rifle","Rapid-Fire Frame","0.03%","∞%"
"901","Qua Xaphan V","Machine Gun","High-Impact Frame","0.03%","∞%"
"902","Lethal Abundance","Auto Rifle","High-Impact Frame","0.03%","∞%"
"903","Stochastic Variable","Submachine Gun","Lightweight Frame","0.03%","∞%"
"904","Last Foray","Sniper Rifle","Aggressive Frame","0.03%","∞%"
"905","The Heron","Glaive","Aggressive Glaive","0.03%","∞%"
"906","Fortissimo-11","Shotgun","Pinpoint Slug Frame","0.03%","∞%"
"907","Long Arm","Scout Rifle","Aggressive Frame","0.03%","∞%"
"908","Taraxippos","Scout Rifle","Lightweight Frame","0.03%","∞%"
"909","Threat Level","Shotgun","Rapid-Fire Frame","0.03%","∞%"
"910","Hand in Hand","Shotgun","Aggressive Frame","0.03%","∞%"
"911","Compass Rose","Shotgun","Precision Frame","0.03%","∞%"
"912","Stars in Shadow","Pulse Rifle","High-Impact Frame","0.03%","∞%"
"913","Multimach CCX","Submachine Gun","Lightweight Frame","0.03%","∞%"
"914","Relentless","Pulse Rifle","High-Impact Frame","0.03%","∞%"
"915","Something New","Hand Cannon","Aggressive Frame","0.03%","∞%"
"916","Chrysura Melo","Auto Rifle","High-Impact Frame","0.03%","∞%"
"917","Sorrow's Verse","Auto Rifle","Adaptive Frame","0.03%","∞%"
"918","Iota Draconis","Fusion Rifle","High-Impact Frame","0.03%","∞%"
"919","Blasphemer","Shotgun","Pinpoint Slug Frame","0.03%","∞%"
"920","Last Perdition","Pulse Rifle","Adaptive Frame","0.03%","∞%"
"921","The Palindrome","Hand Cannon","Adaptive Frame","0.03%","∞%"
"922","Warden's Law (Adept)","Hand Cannon","Heavy Burst","0.03%","∞%"
"923","Sojourner's Tale","Shotgun","Pinpoint Slug Frame","0.03%","∞%"
"924","Cold Comfort (Adept)","Rocket Launcher","Aggressive Frame","0.03%","∞%"
"925","No Reprieve","Shotgun","Pinpoint Slug Frame","0.03%","∞%"
"926","Mirror Imago (Adept)","Submachine Gun","Adaptive Frame","0.03%","∞%"
"927","Darkest Before","Pulse Rifle","Rapid-Fire Frame","0.03%","∞%"
"928","Gizmo Weft","Grenade Launcher","Micro-Missile Frame","0.03%","∞%"
"929","Thoughtless","Sniper Rifle","Adaptive Frame","0.03%","∞%"
"930","The Third Axiom","Pulse Rifle","Adaptive Frame","0.03%","∞%"
"931","Zephyr","Sword","Adaptive Frame","0.03%","∞%"
"932","No Survivors","Submachine Gun","Aggressive Frame","0.03%","∞%"
"933","Tarantula","Linear Fusion Rifle","Precision Frame","0.03%","∞%"
"934","Avalanche","Machine Gun","Adaptive Frame","0.03%","∞%"
"935","No Survivors (Adept)","Submachine Gun","Aggressive Frame","0.03%","∞%"
"936","Vision of Confluence (Timelost)","Scout Rifle","Precision Frame","0.03%","∞%"
"937","A Good Shout","Combat Bow","High-Impact Frame","0.03%","∞%"
"938","Rake Angle","Glaive","Aggressive Glaive","0.03%","∞%"
"939","Frontier's Cry","Hand Cannon","Precision Frame","0.03%","∞%"
"940","Vouchsafe","Scout Rifle","Lightweight Frame","0.03%","∞%"
"941","Terminus Horizon","Machine Gun","High-Impact Frame","0.03%","∞%"
"942","Taraxippos","Scout Rifle","Lightweight Frame","0.03%","∞%"
"943","Oxygen SR3","Scout Rifle","Precision Frame","0.03%","∞%"
"944","Seventh Seraph Officer Revolver","Hand Cannon","Precision Frame","0.03%","∞%"
"945","Action Item","Trace Rifle","Adaptive Frame","0.03%","∞%"
"946","Father's Sins","Sniper Rifle","Rapid-Fire Frame","0.03%","∞%"
"947","The Epicurean","Fusion Rifle","Precision Frame","0.03%","∞%"
"948","Roar of the Bear","Rocket Launcher","High-Impact Frame","0.03%","∞%"
"949","Prosecutor (Adept)","Auto Rifle","Precision Frame","0.03%","∞%"
"950","Lonesome","Sidearm","Precision Frame","0.03%","∞%"
"951","Darkest Before","Pulse Rifle","Rapid-Fire Frame","0.03%","∞%"
"952","Forge's Pledge","Pulse Rifle","Adaptive Frame","0.03%","∞%"
"953","Abyssal Edge","Sword","Wave Sword Frame","0.03%","∞%"
"954","Tomorrow's Answer (Adept)","Rocket Launcher","High-Impact Frame","0.03%","∞%"
"955","Escape Velocity","Submachine Gun","Lightweight Frame","0.03%","∞%"
"956","Long Arm (Adept)","Scout Rifle","Aggressive Frame","0.03%","∞%"
"957","Lethal Abundance","Auto Rifle","High-Impact Frame","0.03%","∞%"
"958","The Last Dance","Sidearm","Adaptive Burst","0.03%","∞%"
"959","Adored","Sniper Rifle","Adaptive Frame","0.03%","∞%"
"960","Smite of Merain (Harrowed)","Pulse Rifle","Adaptive Frame","0.03%","∞%"
"961","Waking Vigil","Hand Cannon","Adaptive Frame","0.03%","∞%"
"962","Adverse Possession IX","Scout Rifle","Precision Frame","0.03%","∞%"
"963","The Last Breath","Auto Rifle","Adaptive Frame","0.03%","∞%"
"964","Gallu RR3","Sniper Rifle","Adaptive Frame","0.03%","∞%"
"965","Mechabre","Sniper Rifle","Aggressive Frame","0.03%","∞%"
"966","Liminal Vigil","Sidearm","Heavy Burst","0.03%","∞%"
"967","Death Adder","Submachine Gun","Lightweight Frame","0.03%","∞%"
"968","New Pacific Epitaph","Grenade Launcher","Wave Frame","0.03%","∞%"
"969","The Prophet","Scout Rifle","Aggressive Frame","0.03%","∞%"
"970","Hung Jury SR4 (Adept)","Scout Rifle","Precision Frame","0.03%","∞%"
"971","Mercurial Overreach","Sniper Rifle","Adaptive Frame","0.03%","∞%"
"972","Judgment","Hand Cannon","Adaptive Frame","0.03%","∞%"
"973","Punching Out","Sidearm","Rapid-Fire Frame","0.03%","∞%"
"974","The Title","Submachine Gun","Aggressive Frame","0.03%","∞%"
"975","IKELOS_SR_v1.0.2","Sniper Rifle","Rapid-Fire Frame","0.03%","∞%"
"976","The Messenger (Adept)","Pulse Rifle","High-Impact Frame","0.03%","∞%"
"977","Accelerando-42","Fusion Rifle","Precision Frame","0.03%","∞%"
"978","Nameless Midnight","Scout Rifle","Precision Frame","0.03%","∞%"
"979","Sola's Scar","Sword","Caster Frame","0.03%","∞%"
"980","New Purpose","Pulse Rifle","High-Impact Frame","0.03%","∞%"
"981","Forthcoming Deviance","Glaive","Rapid-Fire Glaive","0.03%","∞%"
"982","Synanceia","Sword","Wave Sword Frame","0.03%","∞%"
"983","Vikala SMG4","Submachine Gun","Balanced Heat Weapon","0.03%","∞%"
"984","New Pacific Epitaph","Grenade Launcher","Wave Frame","0.03%","∞%"
"985","Seventh Seraph Carbine","Auto Rifle","Precision Frame","0.03%","∞%"
"986","THE SWARM (Adept)","Machine Gun","High-Impact Frame","0.03%","∞%"
"987","Alone as a god","Sniper Rifle","Rapid-Fire Frame","0.03%","∞%"
"988","Gunnora's Axe","Shotgun","Pinpoint Slug Frame","0.03%","∞%"
"989","Horror Story","Auto Rifle","Precision Frame","0.03%","∞%"
"990","Mistral Lift","Linear Fusion Rifle","Adaptive Burst","0.03%","∞%"
"991","Whispering Slab","Combat Bow","Lightweight Frame","0.03%","∞%"
"992","Laser Painter","Linear Fusion Rifle","Precision Frame","0.02%","∞%"
"993","The Palindrome","Hand Cannon","Adaptive Frame","0.02%","∞%"
"994","Undercurrent (Adept)","Grenade Launcher","Wave Frame","0.02%","∞%"
"995","Afterlight","Fusion Rifle","Adaptive Frame","0.02%","∞%"
"996","Blast Battue","Grenade Launcher","Adaptive Frame","0.02%","∞%"
"997","Sleepless","Rocket Launcher","High-Impact Frame","0.02%","∞%"
"998","Herod-C","Auto Rifle","High-Impact Frame","0.02%","∞%"
"999","Mechabre","Sniper Rifle","Aggressive Frame","0.02%","∞%"
"1000","Corrective Measure (Timelost)","Machine Gun","Adaptive Frame","0.02%","∞%"
"1001","Fel Taradiddle","Combat Bow","Lightweight Frame","0.02%","∞%"
"1002","Lethophobia","Combat Bow","Lightweight Frame","0.02%","∞%"
"1003","Taraxippos","Scout Rifle","Lightweight Frame","0.02%","∞%"
"1004","King Orfeo","Combat Bow","Precision Frame","0.02%","∞%"
"1005","Naeem's Lance","Sniper Rifle","Rapid-Fire Frame","0.02%","∞%"
"1006","Albedo Wing","Glaive","Aggressive Glaive","0.02%","∞%"
"1007","Roar of the Bear","Rocket Launcher","High-Impact Frame","0.02%","∞%"
"1008","Canis Major","Grenade Launcher","Rapid-Fire Frame","0.02%","∞%"
"1009","Yesterday's Question (Adept)","Hand Cannon","Heavy Burst","0.02%","∞%"
"1010","The Hero's Burden","Submachine Gun","Adaptive Frame","0.02%","∞%"
"1011","Stay Frosty","Pulse Rifle","Lightweight Frame","0.02%","∞%"
"1012","Song of Ir Yût (Adept)","Machine Gun","Adaptive Frame","0.02%","∞%"
"1013","Retrofuturist","Shotgun","Lightweight Frame","0.02%","∞%"
"1014","Imperial Needle","Combat Bow","Lightweight Frame","0.02%","∞%"
"1015","Avalanche","Machine Gun","Adaptive Frame","0.02%","∞%"
"1016","Tomorrow's Answer","Rocket Launcher","High-Impact Frame","0.02%","∞%"
"1017","Tripwire Canary","Combat Bow","Lightweight Frame","0.02%","∞%"
"1018","Cataclysmic (Adept)","Linear Fusion Rifle","Precision Frame","0.02%","∞%"
"1019","A Sudden Death (Adept)","Shotgun","Aggressive Frame","0.02%","∞%"
"1020","Dead Weight","Shotgun","Rapid-Fire Frame","0.02%","∞%"
"1021","Subzero Salvo","Rocket Launcher","Precision Frame","0.02%","∞%"
"1022","Glacioclasm","Fusion Rifle","High-Impact Frame","0.02%","∞%"
"1023","Acasia's Dejection (Adept)","Trace Rifle","Adaptive Frame","0.02%","∞%"
"1024","Annual Skate","Hand Cannon","Adaptive Frame","0.02%","∞%"
"1025","Eternal Blazon","Scout Rifle","Lightweight Frame","0.02%","∞%"
"1026","Dark Decider","Auto Rifle","Rapid-Fire Frame","0.02%","∞%"
"1027","Keen Thistle (Adept)","Sniper Rifle","Aggressive Frame","0.02%","∞%"
"1028","Just in Case","Sword","Adaptive Frame","0.02%","∞%"
"1029","Boudica-C","Sidearm","Precision Frame","0.02%","∞%"
"1030","Uzume RR4 (Adept)","Sniper Rifle","Adaptive Frame","0.02%","∞%"
"1031","Eyes Unveiled","Linear Fusion Rifle","Precision Frame","0.02%","∞%"
"1032","Outlast","Pulse Rifle","Rapid-Fire Frame","0.02%","∞%"
"1033","Glacioclasm","Fusion Rifle","High-Impact Frame","0.02%","∞%"
"1034","Sarpedon-D","Hand Cannon","Spread Shot","0.02%","∞%"
"1035","Pressurized Precision","Fusion Rifle","Adaptive Frame","0.02%","∞%"
"1036","Submission (Adept)","Submachine Gun","Lightweight Frame","0.02%","∞%"
"1037","The Vision","Sidearm","Adaptive Burst","0.02%","∞%"
"1038","Hezen Vengeance (Timelost)","Rocket Launcher","Aggressive Frame","0.02%","∞%"
"1039","Basso Ostinato","Shotgun","Rapid-Fire Frame","0.02%","∞%"
"1040","Duty Bound","Auto Rifle","Adaptive Frame","0.02%","∞%"
"1041","Backfang","Glaive","Rapid-Fire Glaive","0.02%","∞%"
"1042","Deliverance (Adept)","Fusion Rifle","Precision Frame","0.02%","∞%"
"1043","Seventh Seraph SI-2","Sidearm","Lightweight Frame","0.02%","∞%"
"1044","Crisis Inverted","Hand Cannon","Adaptive Frame","0.02%","∞%"
"1045","Judgment","Hand Cannon","Adaptive Frame","0.02%","∞%"
"1046","Liminal Vigil (Adept)","Sidearm","Heavy Burst","0.02%","∞%"
"1047","The Spiteful Fang","Combat Bow","Lightweight Frame","0.02%","∞%"
"1048","Jurassic Green","Pulse Rifle","Rapid-Fire Frame","0.02%","∞%"
"1049","Seventh Seraph Officer Revolver","Hand Cannon","Precision Frame","0.02%","∞%"
"1050","Compass Rose","Shotgun","Precision Frame","0.02%","∞%"
"1051","Fioritura-59","Sidearm","Rapid-Fire Frame","0.02%","∞%"
"1052","Pizzicato-22","Submachine Gun","Adaptive Frame","0.02%","∞%"
"1053","Temptation's Hook","Sword","Caster Frame","0.02%","∞%"
"1054","Found Verdict (Timelost)","Shotgun","Aggressive Frame","0.02%","∞%"
"1055","Riiswalker","Shotgun","Lightweight Frame","0.02%","∞%"
"1056","IKELOS_SG_v1.0.2","Shotgun","Rapid-Fire Frame","0.02%","∞%"
"1057","Sacred Provenance","Pulse Rifle","Aggressive Burst","0.02%","∞%"
"1058","Jurassic Green","Pulse Rifle","Rapid-Fire Frame","0.02%","∞%"
"1059","Ancient Gospel","Hand Cannon","Adaptive Frame","0.02%","∞%"
"1060","Glacioclasm","Fusion Rifle","High-Impact Frame","0.02%","∞%"
"1061","Pleiades Corrector","Scout Rifle","Lightweight Frame","0.02%","∞%"
"1062","The Number","Auto Rifle","Precision Frame","0.02%","∞%"
"1063","Imperative","Scout Rifle","High-Impact Frame","0.02%","∞%"
"1064","Legal Action II","Pulse Rifle","High-Impact Frame","0.02%","∞%"
"1065","Cruel Mercy","Pulse Rifle","Heavy Burst","0.02%","∞%"
"1066","Jian 7 Rifle","Pulse Rifle","Adaptive Frame","0.02%","∞%"
"1067","Farewell","Sidearm","Lightweight Frame","0.02%","∞%"
"1068","Outrageous Fortune","Grenade Launcher","Rapid-Fire Frame","0.02%","∞%"
"1069","Yesteryear","Pulse Rifle","Adaptive Frame","0.02%","∞%"
"1070","Greasy Luck (Adept)","Glaive","Rapid-Fire Glaive","0.02%","∞%"
"1071","Greasy Luck","Glaive","Rapid-Fire Glaive","0.02%","∞%"
"1072","Redback-5si","Sidearm","Lightweight Frame","0.02%","∞%"
"1073","Reckless Oracle","Auto Rifle","Rapid-Fire Frame","0.02%","∞%"
"1074","Tempered Dynamo","Fusion Rifle","Aggressive Frame","0.02%","∞%"
"1075","The Messenger (Adept)","Pulse Rifle","High-Impact Frame","0.02%","∞%"
"1076","Burden of Guilt","Fusion Rifle","Adaptive Frame","0.02%","∞%"
"1077","The Hero's Burden","Submachine Gun","Adaptive Frame","0.02%","∞%"
"1078","Timelines' Vertex","Fusion Rifle","Adaptive Frame","0.02%","∞%"
"1079","Scathelocke","Auto Rifle","Adaptive Frame","0.02%","∞%"
"1080","Mindbender's Ambition","Shotgun","Aggressive Frame","0.02%","∞%"
"1081","Pre Astyanax IV (Adept)","Combat Bow","Precision Frame","0.02%","∞%"
"1082","Edge of Action","Glaive","Edge of Action","0.02%","∞%"
"1083","Brass Attacks","Sidearm","Heavy Burst","0.02%","∞%"
"1084","Abyss Defiant (Adept)","Auto Rifle","High-Impact Frame","0.02%","∞%"
"1085","Biting Winds","Combat Bow","Precision Frame","0.02%","∞%"
"1086","Jararaca-3sr","Scout Rifle","Rapid-Fire Frame","0.02%","∞%"
"1087","Tatara Gaze","Sniper Rifle","Aggressive Frame","0.02%","∞%"
